epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5087,1.82071,5.21434,1.41113,0.49617,0.54098,0.46024,0.29209,1.65506,8.16924,1.42717,0.0004,0.0004,0.0004
2,84.7853,1.41538,7.18375,1.14051,0.73084,0.45902,0.51167,0.35048,1.58055,9.81485,1.27243,0.00077941,0.00077941,0.00077941
3,124.958,1.40183,4.1326,1.11933,0.07935,0.46721,0.07272,0.03578,1.63399,16.4605,1.27639,0.00111724,0.00111724,0.00111724
4,165.199,1.57809,2.66725,1.22705,0.22037,0.51639,0.18967,0.09408,1.4917,6.72987,1.2623,0.00141349,0.00141349,0.00141349
5,204.831,1.5008,3.35314,1.09711,0.71874,0.47541,0.5882,0.35543,1.46887,5.16041,1.2556,0.001604,0.001604,0.001604
6,245.006,1.63112,1.88805,1.26913,0.57972,0.63316,0.65729,0.40748,1.26492,6.01444,1.17736,0.001505,0.001505,0.001505
7,287.638,1.48051,1.85921,1.19883,0.70362,0.4865,0.53141,0.3545,1.33079,6.61925,1.2208,0.001406,0.001406,0.001406
8,327.622,1.41383,1.89051,1.18566,0.73214,0.56013,0.6557,0.40386,1.35201,5.30361,1.17401,0.001307,0.001307,0.001307
9,367.829,1.4497,1.72102,1.18121,0.73967,0.62881,0.71445,0.45707,1.27663,2.89295,1.11891,0.001208,0.001208,0.001208
10,407.724,1.28741,1.80354,1.10009,0.75437,0.64754,0.7554,0.49302,1.23627,2.18908,1.08104,0.001109,0.001109,0.001109
11,448.18,1.14694,2.35044,1.00213,0.83305,0.68852,0.78626,0.50704,1.24282,1.76243,1.10299,0.00101,0.00101,0.00101
12,488.562,1.36572,1.66819,1.18689,0.84342,0.66228,0.74145,0.49832,1.2622,1.56143,1.11432,0.000911,0.000911,0.000911
13,528.512,1.23976,1.69443,1.06503,0.82041,0.71146,0.77267,0.51309,1.2599,1.42044,1.10013,0.000812,0.000812,0.000812
14,568.876,1.30877,1.26238,1.15142,0.82092,0.82665,0.88,0.56207,1.18099,1.48334,1.07029,0.000713,0.000713,0.000713
15,608.542,1.19276,1.14147,1.08791,0.79298,0.88525,0.89276,0.59116,1.16143,1.45825,1.06765,0.000614,0.000614,0.000614
16,654.941,1.21136,1.23158,1.10455,0.77831,0.8633,0.88961,0.60357,1.13633,1.50222,1.05222,0.000515,0.000515,0.000515
17,994.348,1.16069,1.01999,1.05927,0.7712,0.85651,0.89269,0.60658,1.08628,1.45352,1.03515,0.000416,0.000416,0.000416
18,1054.45,1.09191,1.12696,1.00958,0.82782,0.86066,0.91635,0.60921,1.01773,1.06061,1.01734,0.000317,0.000317,0.000317
19,1394.6,1.10481,1.19282,1.01983,0.88487,0.81902,0.92387,0.61593,1.01867,1.03884,1.01828,0.000218,0.000218,0.000218
20,1735.41,1.14678,1.08014,1.05546,0.87515,0.81967,0.91799,0.61171,1.0208,1.05618,1.02286,0.000119,0.000119,0.000119
