epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3095,1.96642,8.66038,1.49667,0.61657,0.14474,0.13952,0.09667,1.77179,317.121,1.3773,0.0001666,0.0001666,0.0001666
2,89.2871,1.42849,7.47152,1.21211,0.83792,0.23611,0.35832,0.20032,1.54265,12.732,1.28392,0.000324624,0.000324624,0.000324624
3,130.825,1.30984,6.1745,1.10867,0.54501,0.45064,0.39827,0.24148,1.58818,16.2491,1.29957,0.00046533,0.00046533,0.00046533
4,172.66,1.37492,2.81402,1.14473,0.57453,0.4554,0.46179,0.28023,1.50633,13.8592,1.25055,0.000588719,0.000588719,0.000588719
5,214.533,1.24187,3.96248,1.06937,0.67412,0.56346,0.57645,0.35386,1.26899,12.4417,1.1721,0.000668066,0.000668066,0.000668066
6,256.073,1.40102,2.26387,1.13761,0.66311,0.59741,0.53131,0.31099,1.22705,10.1031,1.15404,0.000626832,0.000626832,0.000626832
7,298.493,1.30414,2.12512,1.1336,0.64391,0.61589,0.64066,0.39101,1.14843,7.02666,1.10079,0.000585599,0.000585599,0.000585599
8,339.866,1.30723,2.38207,1.12885,0.7137,0.66717,0.68673,0.40923,1.09549,5.43067,1.05643,0.000544365,0.000544365,0.000544365
9,385.585,1.33455,1.83848,1.12779,0.74722,0.6018,0.6435,0.41243,1.10803,5.11076,1.0632,0.000503132,0.000503132,0.000503132
10,425.871,1.13531,2.85487,1.04968,0.80142,0.55836,0.66188,0.43346,1.12647,3.84658,1.06945,0.000461898,0.000461898,0.000461898
11,464.887,1.06855,3.31705,0.96927,0.75524,0.63913,0.66576,0.42993,1.15721,3.35496,1.06814,0.000420665,0.000420665,0.000420665
12,504.92,1.22813,1.6684,1.09173,0.84309,0.5567,0.68591,0.45282,1.10817,3.17722,1.04564,0.000379431,0.000379431,0.000379431
13,544.692,1.10401,2.27084,0.99742,0.8076,0.5629,0.64769,0.42318,1.05211,3.28449,1.02621,0.000338198,0.000338198,0.000338198
14,583.585,1.22438,1.42779,1.10912,0.8983,0.66984,0.75932,0.50579,0.96497,2.61775,1.00642,0.000296964,0.000296964,0.000296964
15,623.375,1.153,1.42162,1.05252,0.94012,0.68416,0.78421,0.52374,0.96006,2.31228,1.00502,0.000255731,0.000255731,0.000255731
16,663.248,1.1694,1.41884,1.06299,0.86949,0.70619,0.79911,0.52522,0.96171,2.10636,1.00249,0.000214497,0.000214497,0.000214497
17,703.53,1.11762,1.22209,1.03937,0.85386,0.71468,0.84912,0.58302,0.96334,1.95415,1.00112,0.000173264,0.000173264,0.000173264
18,743.003,1.04307,1.60373,0.98617,0.94337,0.69694,0.87663,0.58791,0.97623,1.82961,0.99857,0.000132031,0.000132031,0.000132031
19,782.281,1.01792,1.77439,0.96888,0.80609,0.84239,0.87874,0.59332,0.9789,1.84156,0.99864,9.0797e-05,9.0797e-05,9.0797e-05
20,828.231,1.04111,1.07953,1.01166,0.80512,0.84239,0.88195,0.59334,0.97072,1.89025,0.9963,4.95635e-05,4.95635e-05,4.95635e-05
